CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
06-01-0039-46;06-001;SANTA ROSA;CUILAPA;"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ""PROFESOR JORGE HUGO BARILLAS MÉNDEZ";LOTIFICACION BELLA VISTA EL CALVARIO;78205504;IRMA YOLANDA CHACON ARROYO;CARLA SELENE FORTUNY HERNÁNDEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0040-46;06-001;SANTA ROSA;CUILAPA;LICEO CUILAPA;CABECERA MUNICIPAL;58560517;IRMA YOLANDA CHACON ARROYO;NERY FRANCISCO MAURICIO LÓPEZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);SANTA ROSA
06-01-0069-46;06-001;SANTA ROSA;CUILAPA;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;LOTIFICACION BELLA VISTA BARRIO EL CALVARIO;54089468;IRMA YOLANDA CHACON ARROYO;---;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0091-46;06-001;SANTA ROSA;CUILAPA;"COLEGIO TECNOLOGICO MODERNO ""NUESTRA SEÑORA DE LA ASUNCION""";ALDEA GUACAMAYAS, VILLA LAURA;41064795;IRMA YOLANDA CHACON ARROYO;JULIO HILARIO SANCHEZ CARILLO;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0099-46;06-001;SANTA ROSA;CUILAPA;ESCUELA NORMAL INTERCULTURAL;LOTIFICACIÓN BELLA VISTA, BARRIO EL CALVARIO;78865480;IRMA YOLANDA CHACON ARROYO;ANGELA RAQUEL DIVAS QUEVEDO DE RAMIREZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);SANTA ROSA
06-01-0103-46;06-001;SANTA ROSA;CUILAPA;COLEGIO TECNOLOGICO BILINGUE EL HERMANO PEDRO;COLONIA CHINA, BARRIO LA PARROQUIA;78865470;IRMA YOLANDA CHACON ARROYO;CÉSAR AUGUSTO MIRANDA QUINTANILLA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SANTA ROSA
06-01-0105-46;06-039;SANTA ROSA;CUILAPA;"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""COOPERATIVA EL RECUERDO""";CENTRO CULTURAL DE LAS AMERICAS 5 CALLE 1-09 ZONA 1;78866063;JORGE BALDOMERO GONZALEZ BARRERA;ALEYDA MARGARITA MONTENEGRO HERNÁNDEZ DE CRUZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SANTA ROSA
06-01-0107-46;06-001;SANTA ROSA;CUILAPA;"COLEGIO PARTICULAR MIXTO ""DIVINO NIÑO""";COLONIA BELLA VISTA;59495525;IRMA YOLANDA CHACON ARROYO;CÉSAR ARMANDO CORONADO FRANCO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;SANTA ROSA
06-01-0505-46;06-001;SANTA ROSA;CUILAPA;COLEGIO BILINGUE CENTRO DE LAS AMERICAS;2A. AVENIDA 1-53, ZONA 4, BARRIO EL LLANITO;78865838;IRMA YOLANDA CHACON ARROYO;ODILIA ANTONIA GONZALEZ ALONZO;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SANTA ROSA
06-01-1070-46;06-001;SANTA ROSA;CUILAPA;COLEGIO PARTICULAR MIXTO BILINGUE SANTA FAMILIA;ALDEA SAN JUAN DE ARANA;41447490;IRMA YOLANDA CHACON ARROYO;DAVID GUILLERMO BARRIENTOS VALDEZ;DIVERSIFICADO;PRIVADO;RURAL;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);SANTA ROSA
