CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
19-01-0078-46;19-001;ZACAPA;ZACAPA;INSTITUTO DIVERSIFICADO ADSCRITO AL INSTITUTO DE EDUCACION MEDIA EXPERIMENTAL JOSE RODRIGUEZ CERNA;"7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2 BARRIO LA REFORMA";79414031;SONIA HAYDEE RUIZ WONG;MARCO ANTONIO LÓPEZ RAMOS;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ZACAPA
19-01-0079-46;19-001;ZACAPA;ZACAPA;ESCUELA NACIONAL DE CIENCIAS COMERCIALES MIXTA NOCTURNA;4A. CALLE 16-10 ZONA 1. BARRIO EL CALVARIO;57129013;SONIA HAYDEE RUIZ WONG;ELMER OTTONIEL AVALOS MIGUEL;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ZACAPA
19-01-0082-46;99-001;ZACAPA;ZACAPA;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE ADMINISTRACION PUBLICA JN;BARRIO LAS FLORES;;SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO;;DIVERSIFICADO;PRIVADO;URBANA;TEMPORAL TITULOS;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);ZACAPA
19-01-0083-46;;ZACAPA;ZACAPA;INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE ADMINISTRACION PUBLICA JV;BARRIO LAS FLORES;;;;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ZACAPA
19-01-0084-46;19-001;ZACAPA;ZACAPA;INSTITUTO ADOLFO V. HALL DE ORIENTE;BARRIO CRUZ DE MAYO ZONA 3;44974287;SONIA HAYDEE RUIZ WONG;RENÉ EFRAÍN LÓPEZ POLANCO;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);ZACAPA
19-01-0085-46;19-019;ZACAPA;ZACAPA;"COLEGIO PARTICULAR MIXTO LUTERANO "" EL DIVINO SALVADOR""";4A CALLE 2-31 ZONA 2;79410254;HUGO WILFREDO VARGAS CHACON;ANTONIO SALVADOR RAMIREZ RIVAS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ZACAPA
19-01-0086-46;19-019;ZACAPA;ZACAPA;CENTRO EDUCATIVO JUVENIL CATOLICO NUESTRA SEÑORA DE FATIMA;12 CALLE A 14-03 ZONA 1;79410382;HUGO WILFREDO VARGAS CHACON;FIDIAS ROBERTO MONROY LEMUS;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ZACAPA
19-01-0116-46;19-001;ZACAPA;ZACAPA;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;"7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2 BARRIO LA REFORMA";42053474;SONIA HAYDEE RUIZ WONG;MARCY JULISSA JIATZ ALONZO;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ZACAPA
19-01-0143-46;19-002;ZACAPA;ZACAPA;INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA;ALDEA SAN JORGE;;MARIA ELENA GARCIA CONTRERAS DE QUINTO;VICTOR HUGO GUERRA MONROY;DIVERSIFICADO;COOPERATIVA;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ZACAPA
19-01-0144-46;19-019;ZACAPA;ZACAPA;"COLEGIO ""SAN FRANCISCO JAVIER DE ZACAPA""";KILOMETRO 3, CARRETERA DE ALDEA MANZANOTES;77208200;HUGO WILFREDO VARGAS CHACON;KELLY BRISSEYDA ORELLANA DE LEÓN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);ZACAPA
19-01-0148-46;19-019;ZACAPA;ZACAPA;INSTITUTO TECNICO DE EDUCACION INDUSTRIAL;BARRIO LA REFORMA, LOMA DEL CHAPARRO ZONA 2;41830223;HUGO WILFREDO VARGAS CHACON;CARMEN ELIZABETH GARCIA RAMIREZ;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ZACAPA
19-01-0149-46;19-019;ZACAPA;ZACAPA;COLEGIO BILINGÜE MONTESSORI;4TA. CALLE 3-41 ZONA 2;79410965;HUGO WILFREDO VARGAS CHACON;MILVIA ODETH MENENDEZ DE SETT;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ZACAPA
19-01-0156-46;19-019;ZACAPA;ZACAPA;LICEO CRISTO REY;8A. CALLE 9-06 ZONA 2 BARRIO LA REFORMA;54138046;HUGO WILFREDO VARGAS CHACON;EDNA EDITH RAMÍREZ CORDÓN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;ZACAPA
19-01-0160-46;19-019;ZACAPA;ZACAPA;COLEGIO PARTICULAR MIXTO LICEO CRISTIANO ZACAPANECO;12 AVENIDA Y 8A. CALLE ESQUINA ZONA 1;79410316;HUGO WILFREDO VARGAS CHACON;LUCY RAQUEL APARICIO ROLDAN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ZACAPA
19-01-0162-46;19-019;ZACAPA;ZACAPA;COLEGIO PRIVADO MIXTO EVANGELICO ELIM;RESIDENCIALES SHALOM, CALZADA RAMIRO DE LEON CARPIO;55146704;HUGO WILFREDO VARGAS CHACON;LOURDES JULISSA SALGUERO ZABALETA;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ZACAPA
19-01-0166-46;;ZACAPA;ZACAPA;"INSTITUTO DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ ""SUPERACION INTEGRAL""";ALDEA LOS JOCOTES;24106060;;FLOR DE MARIA LOPEZ BARRIOS;DIVERSIFICADO;OFICIAL;RURAL;CERRADA TEMPORALMENTE;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);ZACAPA
